term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),755.79,427.32,1.77,0.08,-84.64,1596.22
cpn_total,38.39,14.44,2.66,0.01,10,66.79
cpn_precoceTRUE,108.39,39.22,2.76,0.01,31.26,185.52
terme_sa,58.19,10.34,5.63,0,37.85,78.52
imc_pre,21.88,5.15,4.25,0,11.76,32
age_mere,-8.11,4.15,-1.96,0.05,-16.26,0.05
parite,56.85,15.05,3.78,0,27.25,86.45
sexe_enfantM,70.26,35.97,1.95,0.05,-0.49,141
milieuUrbain,-17.39,41.87,-0.42,0.68,-99.75,64.96
instructionPrimaire,58.78,55.61,1.06,0.29,-50.6,168.16
instructionSecondaire,41.07,57.38,0.72,0.47,-71.78,153.91
instructionSuperieur,63.4,70.58,0.9,0.37,-75.42,202.21
